	sentence	positive	negative
459	de niro may enjoy the same free ride from critics afforded to clint eastwood in the lazy bloodwork .	0.2642685	0.7357315
381	it 's an awfully derivative story .	0.259582	0.74041796
654	japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .	0.7451562	0.25484377
1571	before long , the film starts playing like general hospital crossed with a saturday night live spoof of dog day afternoon .	0.2498888	0.7501112
641	this is one for the ages .	0.7562867	0.24371332
1466	when the plot kicks in , the film loses credibility .	0.23994814	0.76005185
51	elling , portrayed with quiet fastidiousness by per christian ellefsen , is a truly singular character , one whose frailties are only slightly magnified versions of the ones that vex nearly everyone .	0.7658707	0.23412931
1557	the movie has very little to offer besides unintentional laughs .	0.22954342	0.77045655
320	the piano teacher is the sort of movie that discourages american audiences from ever wanting to see another foreign film .	0.77558887	0.22441113
1234	it 's predictable , but it jumps through the expected hoops with style and even some depth .	0.2198735	0.7801265
682	her delivery and timing are flawless .	0.7863754	0.2136246
626	majidi gets uniformly engaging performances from his largely amateur cast .	0.790787	0.20921302
1310	unfortunately , the picture failed to capture me .	0.2040533	0.7959467
2	by the end of no such thing the audience , like beatrice , has a watchful affection for the monster .	0.80073124	0.19926876
818	another great ` what you do n't see ' is much more terrifying than what you do see thriller , coupled with some arresting effects , incandescent tones and stupendous performances	0.80585307	0.19414693
69	unlike his directorial efforts , la femme nikita and the professional , the transporter lacks besson 's perspective as a storyteller .	0.8106092	0.18939078
622	he simply presents his point of view that ayurveda works .	0.8154302	0.18456978
961	kaufman creates an eerie sense of not only being there at the time of these events but the very night matthew was killed .	0.82006216	0.17993784
848	nothing debases a concept comedy quite like the grinding of bad ideas , and showtime is crammed full of them .	0.1746438	0.8253562
889	leave it to rohmer , now 82 , to find a way to bend current technique to the service of a vision of the past that is faithful to both architectural glories and commanding open spaces of the city as it was more than two centuries ago .	0.8301652	0.1698348
1710	if nothing else , this movie introduces a promising , unusual kind of psychological horror .	0.83520114	0.16479886
462	now , if it only had a brain .	0.15901312	0.84098685
616	god help the poor woman if attal is this insecure in real life : his fictional yvan 's neuroses are aggravating enough to exhaust the patience of even the most understanding spouse .	0.15463534	0.8453647
876	it might be tempting to regard mr. andrew and his collaborators as oddballs , but mr. earnhart 's quizzical , charming movie allows us to see them , finally , as artists .	0.8502561	0.14974391
1016	looks awfully like one long tourist spot for a mississippi that may never have existed outside of a scriptwriter 's imagination .	0.14462832	0.8553717
419	thoughtful , even stinging at times , and lots of fun .	0.86003876	0.13996124
28	this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border .	0.86557233	0.13442767
393	the spark of special anime magic here is unmistakable and hard to resist .	0.8700732	0.1299268
770	... a poignant and powerful narrative that reveals that reading writing and arithmetic are not the only subjects to learn in life .	0.87574035	0.12425965
390	whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .	0.11989336	0.8801066
1698	... there are enough moments of heartbreaking honesty to keep one glued to the screen .	0.8859415	0.114058495
1709	an unbelievably fun film just a leading man away from perfection .	0.89066726	0.10933274
1258	it wo n't be long before you 'll spy i spy at a video store near you .	0.10472025	0.89527977
1436	it will delight newcomers to the story and those who know it from bygone days .	0.9002307	0.099769294
264	will grab your children by the imagination and amaze them and amuse them .	0.90535635	0.09464365
382	the film makes a tragic error by going on for too long , trying to mirror every subsequent event in chinese history : war , revolution , communism , etc. .	0.08994993	0.9100501
38	falters when it takes itself too seriously and when it depends too heavily on its otherwise talented cast to clown in situations that are n't funny .	0.08496356	0.91503644
778	better at putting you to sleep than a sound machine .	0.07989022	0.92010975
1679	as a revenge thriller , the movie is serviceable , but it does n't really deliver the delicious guilty pleasure of the better film versions .	0.92515796	0.074842036
1507	and in truth , cruel as it may sound , he makes arnold schwarzenegger look like spencer tracy .	0.06936078	0.9306392
523	most of the action setups are incoherent .	0.0649148	0.9350852
1738	national lampoon 's van wilder could be the worst thing to come out of national lampoon since class reunion	0.05971958	0.94028044
1722	just one more collection of penis , breast and flatulence gags in search of a story .	0.054721117	0.9452789
1486	a sports movie with action that 's exciting on the field and a story you care about off it .	0.95014536	0.049854636
129	a film that takes you inside the rhythms of its subject : you experience it as you watch .	0.95514905	0.044850945
12	watching the film is like reading a times portrait of grief that keeps shifting focus to the journalist who wrote it .	0.9600429	0.039957106
227	fuller would surely have called this gutsy and at times exhilarating movie a great yarn .	0.9652726	0.034727395
177	it does n't help that the director and cinematographer stephen kazmierski shoot on grungy video , giving the whole thing a dirty , tasteless feel .	0.029992893	0.9700071
1779	we can see the wheels turning , and we might resent it sometimes , but this is still a nice little picture , made by bright and friendly souls with a lot of good cheer .	0.9752456	0.024754405
788	an enchanting film that presents an audacious tour of the past and takes within its warm embrace the bounties of cultural artifacts inside st. petersburg 's hermitage museum .	0.9800047	0.019995272
733	a compelling journey ... and `` his best friend remembers '' is up there with the finest of specials .	0.98503727	0.014962733
1501	an exciting and involving rock music doc , a smart and satisfying look inside that tumultuous world .	0.99008256	0.009917438
1753	... has virtually no script at all ...	0.004945169	0.99505484
